epoch,auc,loss,val_auc,val_loss
0,0.47891029715538025,0.07734984159469604,0.5321405529975891,0.07721526175737381
1,0.8069635629653931,0.04329550266265869,0.8536251783370972,0.02089368738234043
2,0.8770366311073303,0.03581671789288521,0.8709139823913574,0.020189354196190834
3,0.8920255899429321,0.03402407094836235,0.8897572755813599,0.019855666905641556
4,0.9004417657852173,0.03277936205267906,0.9015955328941345,0.018307073041796684
5,0.911389172077179,0.031399186700582504,0.9098212718963623,0.01739433780312538
6,0.915520191192627,0.030534885823726654,0.915726900100708,0.01749148964881897
7,0.9320017695426941,0.02755538746714592,0.9163535833358765,0.016917310655117035
8,0.9373946189880371,0.02655690163373947,0.9150893688201904,0.01961444690823555
9,0.9459640383720398,0.024988306686282158,0.9226340651512146,0.017344387248158455
10,0.957722008228302,0.022418199107050896,0.9124783277511597,0.017923710867762566
11,0.9631810188293457,0.020918002352118492,0.9327341914176941,0.016338879242539406
12,0.9680206775665283,0.019664738327264786,0.9343026280403137,0.016449693590402603
13,0.9704415798187256,0.018962934613227844,0.9305552840232849,0.016703374683856964
14,0.9721308946609497,0.018334785476326942,0.9296014308929443,0.017005257308483124
